"file","line","symbol","kind"
"js\dashboard\custodia-registros.js","944","formatRelative","function"
"js\dashboard\custodia-registros.js","956","redirectToLogin","function"
"js\dashboard\custodia-registros.js","961","persistCustodiaSession","function"
"js\dashboard\custodia-registros.js","1003","redirectToMapa","function"
"js\dashboard\dashboard-admin.js","28","h","arrow"
"js\dashboard\dashboard-admin.js","41","showMsg","arrow"
"js\dashboard\dashboard-admin.js","101","ensureAudioCtx","function"
"js\dashboard\dashboard-admin.js","109","unlockAudio","function"
"js\dashboard\dashboard-admin.js","112","finalize","arrow"
"js\dashboard\dashboard-admin.js","128","unlockAudioListener","arrow"
"js\dashboard\dashboard-admin.js","161","canUseRealtime","arrow"
"js\dashboard\dashboard-admin.js","176","cleanupMarkersChannel","function"
"js\dashboard\dashboard-admin.js","191","ensureMarkersChannel","function"
"js\dashboard\dashboard-admin.js","229","scheduleMarkersRefresh","function"
"js\dashboard\dashboard-admin.js","239","refreshMarkersState","function"
"js\dashboard\dashboard-admin.js","311","fetchMarkerDataset","function"
"js\dashboard\dashboard-admin.js","358","fetchCustodiosMetaByIds","function"
"js\dashboard\dashboard-admin.js","383","isDesktop","arrow"
"js\dashboard\dashboard-admin.js","385","showPanel","function"
"js\dashboard\dashboard-admin.js","419","setAlertsState","arrow"
"js\dashboard\dashboard-admin.js","437","forceEnableAlerts","arrow"
"js\dashboard\dashboard-admin.js","478","openFiltersDrawer","function"
"js\dashboard\dashboard-admin.js","490","onEnd","arrow"
"js\dashboard\dashboard-admin.js","501","closeFiltersDrawer","function"
"js\dashboard\dashboard-admin.js","512","onEnd","arrow"
"js\dashboard\dashboard-admin.js","546","clamp","function"
"js\dashboard\dashboard-admin.js","549","setSidebarWidth","function"
"js\dashboard\dashboard-admin.js","556","initSidebarWidthFromStorage","function"
"js\dashboard\dashboard-admin.js","564","ensureSidebarResizer","function"
"js\dashboard\dashboard-admin.js","582","onDown","arrow"
"js\dashboard\dashboard-admin.js","598","onMove","arrow"
"js\dashboard\dashboard-admin.js","605","onUp","arrow"
"js\dashboard\dashboard-admin.js","734","initMap","function"
"js\dashboard\dashboard-admin.js","771","ensureMap","function"
"js\dashboard\dashboard-admin.js","778","relocateFilters","function"
"js\dashboard\dashboard-admin.js","832","toggleInlineFilters","function"
"js\dashboard\dashboard-admin.js","846","fmtDT","arrow"
"js\dashboard\dashboard-admin.js","857","minDiff","arrow"
"js\dashboard\dashboard-admin.js","858","formatMinutesAgo","arrow"
"js\dashboard\dashboard-admin.js","864","normPing","function"
"js\dashboard\dashboard-admin.js","878","beep","function"
"js\dashboard\dashboard-admin.js","904","fetchRoute","function"
"js\dashboard\dashboard-admin.js","943","normalizeRouteResult","function"
"js\dashboard\dashboard-admin.js","954","loadServices","function"
"js\dashboard\dashboard-admin.js","1047","formatTitle","function"
"js\dashboard\dashboard-admin.js","1056","fetchCustodiosMap","function"
"js\dashboard\dashboard-admin.js","1104","describeCustodios","function"
"js\dashboard\dashboard-admin.js","1115","buildTipoEtiquetaFromCustodias","function"
"js\dashboard\dashboard-admin.js","1143","getTipoEtiqueta","function"
"js\dashboard\dashboard-admin.js","1149","updateServiceFlag","function"
"js\dashboard\dashboard-admin.js","1164","updateLateReportFlags","function"
"js\dashboard\dashboard-admin.js","1184","evaluateLateReportState","function"
"js\dashboard\dashboard-admin.js","1211","getCustodiaState","function"
"js\dashboard\dashboard-admin.js","1216","computeCustodiaStatusForService","function"
"js\dashboard\dashboard-admin.js","1271","applyCustodiaStatuses","function"
"js\dashboard\dashboard-admin.js","1290","startCustodiaStatusTicker","function"
"js\dashboard\dashboard-admin.js","1298","stopCustodiaStatusTicker","function"
"js\dashboard\dashboard-admin.js","1305","updateNoReportBadge","function"
"js\dashboard\dashboard-admin.js","1317","getLateReportState","function"
"js\dashboard\dashboard-admin.js","1323","formatLateReportLabel","function"
"js\dashboard\dashboard-admin.js","1330","buildLateReportButton","function"
"js\dashboard\dashboard-admin.js","1356","handleLateReportClick","function"
"js\dashboard\dashboard-admin.js","1384","setLateReportStatus","function"
"js\dashboard\dashboard-admin.js","1392","scheduleLateReportRetry","function"
"js\dashboard\dashboard-admin.js","1402","clearLateReportTimer","function"
"js\dashboard\dashboard-admin.js","1411","clearLateReport","function"
"js\dashboard\dashboard-admin.js","1416","buildLateReportPayload","function"
"js\dashboard\dashboard-admin.js","1436","renderAlertBadges","function"
"js\dashboard\dashboard-admin.js","1458","renderList","function"
"js\dashboard\dashboard-admin.js","1573","refreshList","function"
"js\dashboard\dashboard-admin.js","1579","isNoReportModalOpen","function"
"js\dashboard\dashboard-admin.js","1583","openNoReportModal","function"
"js\dashboard\dashboard-admin.js","1590","closeNoReportModal","function"
"js\dashboard\dashboard-admin.js","1596","renderNoReportList","function"
"js\dashboard\dashboard-admin.js","1632","handleAdminAlertClick","function"
"js\dashboard\dashboard-admin.js","1655","buildAdminAlertPayload","function"
"js\dashboard\dashboard-admin.js","1688","sendAdminAlert","function"
"js\dashboard\dashboard-admin.js","1700","selectService","function"
"js\dashboard\dashboard-admin.js","1730","updateMarkers","function"
"js\dashboard\dashboard-admin.js","1804","focusMarker","function"
"js\dashboard\dashboard-admin.js","1881","showDetails","function"
"js\dashboard\dashboard-admin.js","1931","finalizarServicio","function"
"js\dashboard\dashboard-admin.js","1965","initAlarmaIntegration","function"
"js\dashboard\dashboard-admin.js","1986","handleAlarmaEvent","function"
"js\dashboard\dashboard-admin.js","2080","normalizeRouteDeviationRecord","function"
"js\dashboard\dashboard-admin.js","2106","handleRouteDeviation","function"
"js\dashboard\dashboard-admin.js","2125","showRouteAlert","function"
"js\dashboard\dashboard-admin.js","2143","dismissRouteAlert","function"
"js\dashboard\dashboard-admin.js","2159","handleRouteAlertView","function"
"js\dashboard\dashboard-admin.js","2182","fetchRutaClienteFeature","function"
"js\dashboard\dashboard-admin.js","2220","drawRutaClienteFeature","function"
"js\dashboard\dashboard-admin.js","2256","ensureRutaClienteLayer","function"
"js\dashboard\dashboard-admin.js","2264","clearRutaClienteLayer","function"
"js\dashboard\dashboard-admin.js","2270","ensureServiceSelectedById","function"
"js\dashboard\dashboard-admin.js","2283","getClienteIdForServicio","function"
"js\dashboard\dashboard-admin.js","2288","formatRouteMeta","function"
"js\dashboard\dashboard-admin.js","2308","normalizeRutaFeature","function"
"js\dashboard\dashboard-admin.js","2328","formatRelativeTimestamp","function"
"js\dashboard\dashboard-admin.js","2343","dismissPanicAlert","function"
"js\dashboard\dashboard-admin.js","2352","reopenActivePanic","function"
"js\dashboard\dashboard-admin.js","2376","reopenRouteAlert","function"
"js\dashboard\dashboard-admin.js","2386","focusPanicOnMap","function"
"js\dashboard\dashboard-admin.js","2422","ensurePanicLayer","function"
"js\dashboard\dashboard-admin.js","2430","clearPanicMarker","function"
"js\dashboard\dashboard-admin.js","2436","debounce","function"
"js\dashboard\dashboard-admin.js","2450","startRealtimePolling","arrow"
"js\dashboard\dashboard-admin.js","2466","setupRealtime","function"
"js\dashboard\dashboard-admin.js","2526","extractServicioIdFromEvent","function"
"js\dashboard\dashboard-admin.js","2541","applyLateReportRemote","function"
"js\dashboard\dashboard-consulta.js","7","h","arrow"
"js\dashboard\dashboard-consulta.js","19","toBase64","arrow"
"js\dashboard\dashboard-consulta.js","35","canUseRealtime","arrow"
"js\dashboard\dashboard-consulta.js","40","showMsg","arrow"
"js\dashboard\dashboard-consulta.js","98","fmtFecha","arrow"
"js\dashboard\dashboard-consulta.js","110","groupBy","function"
"js\dashboard\dashboard-consulta.js","122","setSidebarLoading","function"
"js\dashboard\dashboard-consulta.js","127","showSidebarEmpty","function"
"js\dashboard\dashboard-consulta.js","135","clientInitial","function"
"js\dashboard\dashboard-consulta.js","139","renderSidebar","function"
"js\dashboard\dashboard-consulta.js","173","filterClientes","function"
"js\dashboard\dashboard-consulta.js","190","cargarClientes","function"
"js\dashboard\dashboard-consulta.js","235","cargarServiciosPorCliente","function"
"js\dashboard\dashboard-consulta.js","251","renderPlacasAgrupadas","function"
"js\dashboard\dashboard-consulta.js","329","renderServicioCard","function"
"js\dashboard\dashboard-consulta.js","374","buildMetaItem","function"
"js\dashboard\dashboard-consulta.js","392","buildCustodiosListado","function"
"js\dashboard\dashboard-consulta.js","407","configureFotosButton","function"
"js\dashboard\dashboard-consulta.js","439","buildSelfieItems","function"
"js\dashboard\dashboard-consulta.js","464","openSidebar","function"
"js\dashboard\dashboard-consulta.js","468","closeSidebar","function"
"js\dashboard\dashboard-consulta.js","474","syncResponsiveState","function"
"js\dashboard\dashboard-consulta.js","524","showFotosCustodia","function"
"js\dashboard\dashboard-consulta.js","602","debounce","arrow"
"js\dashboard\dashboard-consulta.js","622","startRealtimePolling","arrow"
"js\dashboard\dashboard-consulta.js","643","setupRealtime","function"
"js\dashboard\dashboard-consulta.js","678","fetchCustodiosDetalle","function"
"js\dashboard\dashboard-consulta.js","704","getSelfieSrc","function"
