"file","line","kind","target","snippet"
"js\mapa.js","1724","from","ruta_cliente","  }      let builder = window.sb        .from(""ruta_cliente"")        .select(""id, nombre, descripcion, geojson, toleranc"
"netlify\functions\ruta-desvio-handler.js","141","from","ruta_cliente"," { data, error } = await supabase       .from(""ruta_cliente"")       .select(""id, nombre, descripcion, tolerancia_metros,"
"js\dashboard\custodia-registros.js","313","from","servicio","data, error } = await window.sb         .from(""servicio"")         .select(""cliente_id, empresa, estado, cliente:cliente_"
"js\dashboard\custodia-registros.js","450","from","servicio","data, error } = await window.sb         .from(""servicio"")         .select(           `           id, tipo, estado, creat"
"js\dashboard\dashboard-admin.js","961","from","servicio","y {        const q = window.sb          .from(""servicio"")          .select(           ""id,empresa,placa,estado,tipo,crea"
"js\dashboard\dashboard-admin.js","1947","from","servicio","nst { error } = await window.sb         .from(""servicio"")         .update({ estado: ""FINALIZADO"" })         .eq(""id"", id"
"js\dashboard\dashboard-consulta.js","195","from","servicio","data, error } = await window.sb         .from(""servicio"")         .select(""cliente_id, estado, cliente:cliente_id(id,nom"
"js\dashboard\dashboard-consulta.js","238","from","servicio","ata, error } = await window.sb          .from(""servicio"")          .select(""id, placa, destino_texto, estado, tipo, crea"
"js\dashboard\dashboard-custodia.js","630","from","servicio","{ data, error } = await window.sb       .from(""servicio"")       .insert(payload, { returning: ""representation"" })       "
"js\dashboard\dashboard-custodia.js","892","from","servicio","{ data, error } = await window.sb       .from(""servicio"")       .select(         ""id,destino_texto,destino_lat,destino_l"
"js\dashboard\dashboard-custodia.js","907","from","servicio","{ data, error } = await window.sb       .from(""servicio"")       .select(""id,destino_texto,cliente:cliente_id(nombre),cre"
"js\mapa.js","495","from","servicio","ata, error } = await window.sb          .from(""servicio"")          .select(            ""id, empresa, placa, tipo, destin"
"js\mapa.js","1973","from","servicio"," { error } = await window.sb            .from(""servicio"")            .update({              estado: ""FINALIZADO"",       "
"modules\alarma\alarma.js","2610","from","servicio","           await window.sb              .from(""servicio"")              .update({ last_checkin_at: new Date().toISOString"
"netlify\functions\checkin-scheduler.js","178","from","servicio","servicios, error } = await supabase     .from(""servicio"")     .select(       ""id, empresa, tipo, estado, placa, placa_up"
"netlify\functions\push-cron-checkin.js","38","from","servicio","error: svcError } = await supabase      .from(""servicio"")      .select(        ""id, empresa, placa, tipo, estado, last_c"
"netlify\functions\ruta-desvio-handler.js","45","from","servicio"," error: svcError } = await supabase     .from(""servicio"")     .select(       `         id,         empresa,         tipo"
"js\dashboard\custodia-registros.js","827","from","servicio_custodio","{ data, error } = await window.sb       .from(""servicio_custodio"")       .insert(         {           servicio_id: servi"
"js\dashboard\custodia-registros.js","920","from","servicio_custodio","{ data, error } = await window.sb       .from(""servicio_custodio"")       .select(""custodia_id"")       .eq(""id"", scId)   "
"js\dashboard\dashboard-admin.js","366","from","servicio_custodio","ata, error } = await window.sb          .from(""servicio_custodio"")          .select(""id,nombre_custodio,tipo_custodia"") "
"js\dashboard\dashboard-admin.js","1062","from","servicio_custodio","ata, error } = await window.sb          .from(""servicio_custodio"")          .select(""id,servicio_id,nombre_custodio,tipo"
"js\dashboard\dashboard-consulta.js","680","from","servicio_custodio","{ data, error } = await window.sb       .from(""servicio_custodio"")       .select(         `         id,         tipo_cus"
"js\dashboard\dashboard-custodia.js","641","from","servicio_custodio","{ data, error } = await window.sb       .from(""servicio_custodio"")       .insert(payload, { returning: ""representation"" "
"js\mapa.js","348","from","servicio_custodio"," data, error } = await window.sb        .from(""servicio_custodio"")        .select(""custodia_id"")        .eq(""id"", scId) "
